N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
3890,100,0.000250627,2019458,148291,89459,1,13.62,22.57
3900,100,0.00025,1961625,146542,88500,1,13.39,22.17
3910,100,0.000249377,1926334,146459,89083,1,13.15,21.62
3920,100,0.000248756,1966875,142750,89250,1,13.78,22.04
3930,100,0.000248139,1992084,168375,90708,1,11.83,21.96
3940,100,0.000247525,2013459,146208,90833,1,13.77,22.17
3950,100,0.000246914,1985875,147875,90583,1,13.43,21.92
3960,100,0.000246305,1991042,150166,90416,1,13.26,22.02
3970,100,0.0002457,1993458,150833,90625,1,13.22,22
3980,100,0.000245098,1997708,181541,96500,1,11,20.7
3990,100,0.000244499,2350167,153584,93208,1,15.3,25.21
4000,100,0.000243902,1973792,148917,98042,1,13.25,20.13
4010,100,0.000243309,3278375,458541,158125,1,7.15,20.73
4020,100,0.000242718,2432000,165167,107458,1,14.72,22.63
4030,100,0.000242131,2117709,152583,91000,1,13.88,23.27
4040,100,0.000241546,1981459,146250,90834,1,13.55,21.81
4050,100,0.000240964,2078250,165958,95750,1,12.52,21.7
4060,100,0.000240385,2000500,150917,89000,1,13.26,22.48
4070,100,0.000239808,2036416,151209,93083,1,13.47,21.88
4080,100,0.000239234,2000792,150750,88916,1,13.27,22.5
4090,100,0.000238663,2046292,168041,96375,1,12.18,21.23
4100,100,0.000238095,2167000,156375,100542,1,13.86,21.55
4110,100,0.00023753,2081292,157708,100667,1,13.2,20.68
4120,100,0.000236967,2146750,155458,92209,1,13.81,23.28
4130,100,0.000236407,2088958,184375,98667,1,11.33,21.17
4140,100,0.000235849,2127084,155375,93542,1,13.69,22.74
4150,100,0.000235294,2090250,155541,90750,1,13.44,23.03
4160,100,0.000234742,2130416,154083,92208,1,13.83,23.1
4170,100,0.000234192,2186750,181875,129666,1,12.02,16.86
4180,100,0.000233645,2216958,158166,93750,1,14.02,23.65
4190,100,0.0002331,2104667,159167,91917,1,13.22,22.9
4200,100,0.000232558,2120333,158208,93250,1,13.4,22.74
4210,100,0.000232019,2473125,213750,99667,1,11.57,24.81
4220,100,0.000231481,2327125,188500,101875,1,12.35,22.84
4230,100,0.000230947,2227375,332500,102875,1,6.7,21.65
4240,100,0.000230415,2261792,161333,95375,1,14.02,23.71
4250,100,0.000229885,2173209,158750,94250,1,13.69,23.06
4260,100,0.000229358,2139500,158666,95375,1,13.48,22.43
4270,100,0.000228833,2180375,192208,97709,1,11.34,22.31
4280,100,0.000228311,2161750,160500,96042,1,13.47,22.51
4290,100,0.00022779,2302625,165833,98833,1,13.89,23.3
4300,100,0.000227273,2307291,172125,109500,1,13.4,21.07
4310,100,0.000226757,2213792,164458,96500,1,13.46,22.94
4320,100,0.000226244,2193208,163625,96834,1,13.4,22.65
4330,100,0.000225734,2212625,175000,98458,1,12.64,22.47
4340,100,0.000225225,2258208,168166,99791,1,13.43,22.63
4350,100,0.000224719,2222666,171708,97083,1,12.94,22.89
4360,100,0.000224215,2348625,278375,103541,1,8.44,22.68
4370,100,0.000223714,2304458,170708,97125,1,13.5,23.73
4380,100,0.000223214,2234916,161917,96500,1,13.8,23.16
4390,100,0.000222717,2238125,201125,96792,1,11.13,23.12
4400,100,0.000222222,2251750,162750,96375,1,13.84,23.36
4410,100,0.000221729,2299750,166792,97583,1,13.79,23.57
4420,100,0.000221239,2252709,198541,103667,1,11.35,21.73
4430,100,0.000220751,2225292,165875,98458,1,13.42,22.6
4440,100,0.000220264,2264041,170125,98625,1,13.31,22.96
4450,100,0.00021978,2265625,204416,98583,1,11.08,22.98
4460,100,0.000219298,2274792,166834,98000,1,13.64,23.21
4470,100,0.000218818,2282625,166083,98375,1,13.74,23.2
4480,100,0.000218341,2291500,166791,99791,1,13.74,22.96
4490,100,0.000217865,2290000,168291,99666,1,13.61,22.98
4500,100,0.000217391,2279791,171583,100167,1,13.29,22.76
4510,100,0.00021692,2348959,170125,101583,1,13.81,23.12
4520,100,0.00021645,2304459,177125,101708,1,13.01,22.66
4530,100,0.000215983,2310416,181209,102500,1,12.75,22.54
